UID,Gender,Age,COY,YOE,TaskID,TaskSet,Complexity,CAT,CA,UA,Duration
e885134d,1,18-24,Senior,4,16,8,L-3,Interpolation,3,3,14.454
ecb18c7e,1,18-24,Senior,5,1,1,L-1,Concatenation,2,2,13.236
ecb18c7e,1,18-24,Senior,5,2,1,L-1,Interpolation,1,1,10.977
ecb18c7e,1,18-24,Senior,5,3,2,L-2,Concatenation,1,4,20.998
ecb18c7e,1,18-24,Senior,5,4,2,L-2,Interpolation,2,2,50.787
ecb18c7e,1,18-24,Senior,5,5,3,L-2,Concatenation,3,3,26.854
ecb18c7e,1,18-24,Senior,5,6,3,L-2,Interpolation,4,3,18.546
ecb18c7e,1,18-24,Senior,5,7,4,L-4,Concatenation,4,4,26.551
ecb18c7e,1,18-24,Senior,5,8,4,L-4,Interpolation,1,1,25.185
ecb18c7e,1,18-24,Senior,5,9,5,L-3,Concatenation,3,3,22.446
ecb18c7e,1,18-24,Senior,5,10,5,L-3,Interpolation,2,3,28.557
ecb18c7e,1,18-24,Senior,5,11,6,L-4,Concatenation,3,3,16.203
ecb18c7e,1,18-24,Senior,5,12,6,L-4,Interpolation,1,1,12.74
ecb18c7e,1,18-24,Senior,5,13,7,L-2,Concatenation,4,4,19.357
ecb18c7e,1,18-24,Senior,5,14,7,L-2,Interpolation,2,2,20.229
ecb18c7e,1,18-24,Senior,5,15,8,L-3,Concatenation,1,1,22.075
ecb18c7e,1,18-24,Senior,5,16,8,L-3,Interpolation,3,3,19.828
d724c3c6,1,18-24,Senior,5,1,1,L-1,Concatenation,2,2,20.418
d724c3c6,1,18-24,Senior,5,2,1,L-1,Interpolation,1,1,11.991
d724c3c6,1,18-24,Senior,5,3,2,L-2,Concatenation,1,4,73.63
d724c3c6,1,18-24,Senior,5,4,2,L-2,Interpolation,2,2,15.389
d724c3c6,1,18-24,Senior,5,5,3,L-2,Concatenation,3,3,62.457
d724c3c6,1,18-24,Senior,5,6,3,L-2,Interpolation,4,3,20.675
d724c3c6,1,18-24,Senior,5,7,4,L-4,Concatenation,4,4,122.393
d724c3c6,1,18-24,Senior,5,8,4,L-4,Interpolation,1,1,53.794
d724c3c6,1,18-24,Senior,5,9,5,L-3,Concatenation,3,3,32.033
d724c3c6,1,18-24,Senior,5,10,5,L-3,Interpolation,2,2,54.598
d724c3c6,1,18-24,Senior,5,11,6,L-4,Concatenation,3,3,67.421
d724c3c6,1,18-24,Senior,5,12,6,L-4,Interpolation,1,1,48.532
d724c3c6,1,18-24,Senior,5,13,7,L-2,Concatenation,4,4,31.891
d724c3c6,1,18-24,Senior,5,14,7,L-2,Interpolation,2,2,45.723
d724c3c6,1,18-24,Senior,5,15,8,L-3,Concatenation,1,1,93.773
d724c3c6,1,18-24,Senior,5,16,8,L-3,Interpolation,3,3,13.822
86751986,1,25-35,Graduate,4,1,1,L-1,Concatenation,2,2,3.803
86751986,1,25-35,Graduate,4,2,1,L-1,Interpolation,1,1,4.23
86751986,1,25-35,Graduate,4,3,2,L-2,Concatenation,1,1,20.643
86751986,1,25-35,Graduate,4,4,2,L-2,Interpolation,2,2,18.271
86751986,1,25-35,Graduate,4,5,3,L-2,Concatenation,3,3,10.631
86751986,1,25-35,Graduate,4,6,3,L-2,Interpolation,4,3,9.203
86751986,1,25-35,Graduate,4,7,4,L-4,Concatenation,4,1,14.353
86751986,1,25-35,Graduate,4,8,4,L-4,Interpolation,1,1,10.343
86751986,1,25-35,Graduate,4,9,5,L-3,Concatenation,3,3,15.868
86751986,1,25-35,Graduate,4,10,5,L-3,Interpolation,2,2,12.266
86751986,1,25-35,Graduate,4,11,6,L-4,Concatenation,3,3,13.308
86751986,1,25-35,Graduate,4,12,6,L-4,Interpolation,1,1,4.771
86751986,1,25-35,Graduate,4,13,7,L-2,Concatenation,4,4,11.204
86751986,1,25-35,Graduate,4,14,7,L-2,Interpolation,2,2,5.635
86751986,1,25-35,Graduate,4,15,8,L-3,Concatenation,1,1,13.012
86751986,1,25-35,Graduate,4,16,8,L-3,Interpolation,3,4,4.72
2731925c,1,18-24,Senior,4,1,1,L-1,Concatenation,2,2,16.151
2731925c,1,18-24,Senior,4,2,1,L-1,Interpolation,1,1,16.917
2731925c,1,18-24,Senior,4,3,2,L-2,Concatenation,1,4,35.717
2731925c,1,18-24,Senior,4,4,2,L-2,Interpolation,2,1,7.583
2731925c,1,18-24,Senior,4,5,3,L-2,Concatenation,3,3,26.368
2731925c,1,18-24,Senior,4,6,3,L-2,Interpolation,4,3,10.5
2731925c,1,18-24,Senior,4,7,4,L-4,Concatenation,4,4,38.634
2731925c,1,18-24,Senior,4,8,4,L-4,Interpolation,1,2,18.15
2731925c,1,18-24,Senior,4,9,5,L-3,Concatenation,3,3,23.284
2731925c,1,18-24,Senior,4,10,5,L-3,Interpolation,2,2,9.5
2731925c,1,18-24,Senior,4,11,6,L-4,Concatenation,3,3,22.467
2731925c,1,18-24,Senior,4,12,6,L-4,Interpolation,1,1,13.651
2731925c,1,18-24,Senior,4,13,7,L-2,Concatenation,4,4,16.533
2731925c,1,18-24,Senior,4,14,7,L-2,Interpolation,2,2,12.667
2731925c,1,18-24,Senior,4,15,8,L-3,Concatenation,1,1,31.201
2731925c,1,18-24,Senior,4,16,8,L-3,Interpolation,3,3,13.734
36b6f13c,2,18-24,Freshman,2,1,1,L-1,Concatenation,2,2,36.866
36b6f13c,2,18-24,Freshman,2,2,1,L-1,Interpolation,1,1,12.967
36b6f13c,2,18-24,Freshman,2,3,2,L-2,Concatenation,1,3,47.501
36b6f13c,2,18-24,Freshman,2,4,2,L-2,Interpolation,2,3,22.408
36b6f13c,2,18-24,Freshman,2,5,3,L-2,Concatenation,3,3,18.751
36b6f13c,2,18-24,Freshman,2,6,3,L-2,Interpolation,4,3,19.996
36b6f13c,2,18-24,Freshman,2,7,4,L-4,Concatenation,4,4,36.948
36b6f13c,2,18-24,Freshman,2,8,4,L-4,Interpolation,1,1,10.513
36b6f13c,2,18-24,Freshman,2,9,5,L-3,Concatenation,3,3,60.151
36b6f13c,2,18-24,Freshman,2,10,5,L-3,Interpolation,2,2,15.142
36b6f13c,2,18-24,Freshman,2,11,6,L-4,Concatenation,3,3,79.268
36b6f13c,2,18-24,Freshman,2,12,6,L-4,Interpolation,1,1,28.763
36b6f13c,2,18-24,Freshman,2,13,7,L-2,Concatenation,4,4,52.447
36b6f13c,2,18-24,Freshman,2,14,7,L-2,Interpolation,2,2,34.657
36b6f13c,2,18-24,Freshman,2,15,8,L-3,Concatenation,1,2,45.301
36b6f13c,2,18-24,Freshman,2,16,8,L-3,Interpolation,3,3,18.006
3a61f8d8,1,18-24,Senior,3,1,1,L-1,Concatenation,2,2,13.725
3a61f8d8,1,18-24,Senior,3,2,1,L-1,Interpolation,1,1,8.684
3a61f8d8,1,18-24,Senior,3,3,2,L-2,Concatenation,1,4,20.774
3a61f8d8,1,18-24,Senior,3,4,2,L-2,Interpolation,2,3,7.682
3a61f8d8,1,18-24,Senior,3,5,3,L-2,Concatenation,3,3,6.164
3a61f8d8,1,18-24,Senior,3,6,3,L-2,Interpolation,4,3,5.813
3a61f8d8,1,18-24,Senior,3,7,4,L-4,Concatenation,4,4,5.638
3a61f8d8,1,18-24,Senior,3,8,4,L-4,Interpolation,1,1,5.875
3a61f8d8,1,18-24,Senior,3,9,5,L-3,Concatenation,3,1,5.466
3a61f8d8,1,18-24,Senior,3,10,5,L-3,Interpolation,2,2,8.926
3a61f8d8,1,18-24,Senior,3,11,6,L-4,Concatenation,3,3,5.921
3a61f8d8,1,18-24,Senior,3,12,6,L-4,Interpolation,1,1,5.451
3a61f8d8,1,18-24,Senior,3,13,7,L-2,Concatenation,4,4,11.319
3a61f8d8,1,18-24,Senior,3,14,7,L-2,Interpolation,2,1,5.655
3a61f8d8,1,18-24,Senior,3,15,8,L-3,Concatenation,1,1,6.966
3a61f8d8,1,18-24,Senior,3,16,8,L-3,Interpolation,3,4,9.378
9eb1265f,1,45-54,Others,5,1,1,L-1,Concatenation,2,2,4.053
9eb1265f,1,45-54,Others,5,2,1,L-1,Interpolation,1,1,1.07
9eb1265f,1,45-54,Others,5,3,2,L-2,Concatenation,1,3,6.134
9eb1265f,1,45-54,Others,5,4,2,L-2,Interpolation,2,2,8.99
9eb1265f,1,45-54,Others,5,5,3,L-2,Concatenation,3,3,5.628
9eb1265f,1,45-54,Others,5,6,3,L-2,Interpolation,4,3,6.675
9eb1265f,1,45-54,Others,5,7,4,L-4,Concatenation,4,1,8.565
9eb1265f,1,45-54,Others,5,8,4,L-4,Interpolation,1,1,3.662
9eb1265f,1,45-54,Others,5,9,5,L-3,Concatenation,3,1,7.079
9eb1265f,1,45-54,Others,5,10,5,L-3,Interpolation,2,2,0.986
9eb1265f,1,45-54,Others,5,11,6,L-4,Concatenation,3,3,12.107
9eb1265f,1,45-54,Others,5,12,6,L-4,Interpolation,1,1,7.895
9eb1265f,1,45-54,Others,5,13,7,L-2,Concatenation,4,4,6.741
9eb1265f,1,45-54,Others,5,14,7,L-2,Interpolation,2,2,4.953
9eb1265f,1,45-54,Others,5,15,8,L-3,Concatenation,1,1,11.55
9eb1265f,1,45-54,Others,5,16,8,L-3,Interpolation,3,3,9.549
9f03925b,2,0,Graduate,5,1,1,L-1,Concatenation,2,2,23.177
9f03925b,2,0,Graduate,5,2,1,L-1,Interpolation,1,1,14.291
9f03925b,2,0,Graduate,5,3,2,L-2,Concatenation,1,2,12.57
9f03925b,2,0,Graduate,5,4,2,L-2,Interpolation,2,2,16.711
9f03925b,2,0,Graduate,5,5,3,L-2,Concatenation,3,3,21.218
9f03925b,2,0,Graduate,5,6,3,L-2,Interpolation,4,3,13.171
9f03925b,2,0,Graduate,5,7,4,L-4,Concatenation,4,4,58.662
9f03925b,2,0,Graduate,5,8,4,L-4,Interpolation,1,2,42.106
9f03925b,2,0,Graduate,5,9,5,L-3,Concatenation,3,3,27.404
9f03925b,2,0,Graduate,5,10,5,L-3,Interpolation,2,2,16.524
9f03925b,2,0,Graduate,5,11,6,L-4,Concatenation,3,3,30.829
9f03925b,2,0,Graduate,5,12,6,L-4,Interpolation,1,1,14.296
9f03925b,2,0,Graduate,5,13,7,L-2,Concatenation,4,4,15.653
9f03925b,2,0,Graduate,5,14,7,L-2,Interpolation,2,2,10.031
9f03925b,2,0,Graduate,5,15,8,L-3,Concatenation,1,1,21.248
9f03925b,2,0,Graduate,5,16,8,L-3,Interpolation,3,3,20.932
03853d0d,1,18-24,Sophomore,3,1,1,L-1,Concatenation,2,2,7.524
03853d0d,1,18-24,Sophomore,3,2,1,L-1,Interpolation,1,1,14.223
03853d0d,1,18-24,Sophomore,3,3,2,L-2,Concatenation,1,1,31.748
03853d0d,1,18-24,Sophomore,3,4,2,L-2,Interpolation,2,2,16.617
03853d0d,1,18-24,Sophomore,3,5,3,L-2,Concatenation,3,3,18.711
03853d0d,1,18-24,Sophomore,3,6,3,L-2,Interpolation,4,3,16.671
03853d0d,1,18-24,Sophomore,3,7,4,L-4,Concatenation,4,1,43.431
03853d0d,1,18-24,Sophomore,3,8,4,L-4,Interpolation,1,1,26.08
03853d0d,1,18-24,Sophomore,3,9,5,L-3,Concatenation,3,3,22.173
03853d0d,1,18-24,Sophomore,3,10,5,L-3,Interpolation,2,2,9.009
03853d0d,1,18-24,Sophomore,3,11,6,L-4,Concatenation,3,3,33.196
03853d0d,1,18-24,Sophomore,3,12,6,L-4,Interpolation,1,1,9.878
03853d0d,1,18-24,Sophomore,3,13,7,L-2,Concatenation,4,4,23.986
03853d0d,1,18-24,Sophomore,3,14,7,L-2,Interpolation,2,2,13.088
03853d0d,1,18-24,Sophomore,3,15,8,L-3,Concatenation,1,1,18.16
03853d0d,1,18-24,Sophomore,3,16,8,L-3,Interpolation,3,3,13.523
5687a22f,2,18-24,Junior,2,1,1,L-1,Concatenation,2,2,30.866
5687a22f,2,18-24,Junior,2,2,1,L-1,Interpolation,1,1,10.967
5687a22f,2,18-24,Junior,2,3,2,L-2,Concatenation,1,2,37.501
5687a22f,2,18-24,Junior,2,4,2,L-2,Interpolation,2,2,18.408
5687a22f,2,18-24,Junior,2,5,3,L-2,Concatenation,3,3,18.751
5687a22f,2,18-24,Junior,2,6,3,L-2,Interpolation,4,4,19.996
5687a22f,2,18-24,Junior,2,7,4,L-4,Concatenation,4,1,29.948
5687a22f,2,18-24,Junior,2,8,4,L-4,Interpolation,1,1,10.513
5687a22f,2,18-24,Junior,2,9,5,L-3,Concatenation,3,2,55.111
5687a22f,2,18-24,Junior,2,10,5,L-3,Interpolation,2,2,12.442
5687a22f,2,18-24,Junior,2,11,6,L-4,Concatenation,3,3,66.563
5687a22f,2,18-24,Junior,2,12,6,L-4,Interpolation,1,1,18.637
5687a22f,2,18-24,Junior,2,13,7,L-2,Concatenation,4,4,45.447
5687a22f,2,18-24,Junior,2,14,7,L-2,Interpolation,2,2,30.657
5687a22f,2,18-24,Junior,2,15,8,L-3,Concatenation,1,2,39.301
5687a22f,2,18-24,Junior,2,16,8,L-3,Interpolation,3,1,19.006
